ಠ_ಠ
Ծ_Ծ
ಠ~ಠ
ఠ_ఠ
ಠ_ರೃ
ಠ_ృ
ಠ╭╮ಠ
◔_◔
𝄇⥀.⥀𝄆
⊙_ʘ
◴_◶
◕ ◡ ◕
(๏̯͡๏﴿
(͡๏̯͡๏)
◔̯◔
⊙︿⊙
◕︵◕
●︵•
◉︵◉
ಡ_ಡ
ಥ_ಥ
ಢ_ಢ
ಢ_ಥ
⊙﹏⊙
( ﾟoﾟ)
⋋_⋌
〴⋋_⋌〵
ಠ益ಠ
ヽ(｀Д´)ﾉ
(︶ε︶メ)
˚▱˚
⊙▂⊙
⊙▃⊙
(ΘεΘ;)
(ﾟヮﾟ)
〓D
(´ー`)
(´▽`)
(ﾟ＊ﾟ)
(｡･_･｡)
♥╭╮♥
≖◡ಎ≖
(///_ಥ)
(≥_<)
ʕʘ‿ʘʔ
:-þ
:^Þ
¯\_(ツ)_/¯
ヘ(◕。◕ヘ)
๏_๏
◉_◉
ਉ_ਉ
☼_☼
♨_♨
(ﾟーﾟ)
(• ε •)
(`･ω･´)
¬_¬
ಸ_ಸ
ↁ_ↁ
ಆ_ಆ
ಊ_ಊ
ಹ_ಹ
ㅎ_ㅎ
【•】_【•】
(ு८ு_ .:)
(づ｡◕‿‿◕｡)づ
(/◔ ◡ ◔)/
٩(̾●̮̮̃̾•̃̾)۶
\(• ◡ •)/
\( ﾟ◡ﾟ)/
⊂(◉‿◉)つ
ح˚௰˚づ
╚(•⌂•)╝
☜-(ΘLΘ)-☞
☜｡◕‿◕｡☞
(✌ﾟ∀ﾟ)☞
щ（ﾟДﾟщ）
ლ(ಠ_ಠ ლ)
◖|◔◡◉|◗
( ‘-’)人(ﾟ_ﾟ )
( _)=mm=(^_^ )
(>'o’)> ♥ <('o’<)
⎝⏠⏝⏠⎠
( ´_⊃｀）
(Ō_ƆŎ)
≖_≖
＼| ￣ヘ￣|／
̿’ ̿’\̵͇̿̿\з=(•̪●)=ε/̵͇̿̿/’̿’̿
< ('o'<)
( '-’ )
(>‘o’)>
v( ‘.’ )v
< (' .' )>
< ('.'<)
( '.’ )
(>‘.’)>
v( ‘.’ )v
< (' .' )>
♪┏(・o･)┛♪
♪┗ ( ･o･) ┓♪
♪┏ ( ) ┛♪
♪┗ (･o･ ) ┓♪
♪┏(･o･)┛♪
Ƹ̵̡Ӝ̵̨̄Ʒ
/╲/\╭ºoꍘoº╮/\╱\
(* ･(ｴ)･ *)
(\/) (°,,°) (\/)
⊛ठ̯⊛
ತಟತ
’;‘
/:€
˚⌇˚
ಈ_ಈ
ⓧ_ⓧ
⨂_⨂
✖_✖
×̯×
‹•.•›
•ﺑ•
(० ्०)
ôヮô
¢‿¢
!⑈ˆ~ˆ!⑈
•(⌚_⌚)•
(▰˘◡˘▰)
۹ↁﮌↁ
乂◜◬◝乂
ತ_ಎತ
ಠﭛಠ
⏠⏝⏠
⇎_⇎
흫_흫
句_句
໖_໖
༺‿༻
ಠ , ಥ
१✌◡✌५
१|˚–˚|५
โ๏௰๏ใ ื
◜㍕◝
◷_௰◴
◎ܫ◎
(˚ㄥ_˚)
(˚இ˚)
ộ_ộ
◘_◘
◙‿◙
δﺡό
⊂•⊃_⊂•⊃
ح˚ᆺ˚ว
❂‿❂
❐‿❑
☾˙❀‿❀˙☽
(ΘL_Θ)
●¿_●
