omega
UWU
uwu
OWO
owo
X.X
ksk ksk ksk ksk
x.x
nyah
nyahhhh
uguu
oof
ooomf
UGUU
3==D
:p
>:p
:3
>:3
>D3
>B3
num
nom
nuzzles
huehue
LOL
lol
lel
X3
xd
XD
sexnumber
69
420
weednumber
